symbol,date,open,high,low,close,volume,open_interest
ESZ08,11/26/2008,963.0,997.75,939.5,996.25,2183922,3224297
ESZ08,11/25/2008,957.25,984.0,943.5,963.25,3128875,3253844
ESZ08,11/24/2008,911.0,976.25,893.25,958.0,3437690,3262323
ESZ08,11/21/2008,859.75,912.25,849.0,902.0,4289539,3303397
ESZ08,11/20/2008,920.5,930.75,855.0,858.25,4487833,3298401
ESZ08,11/19/2008,975.25,976.0,914.25,922.5,3436843,3218206
ESZ08,11/18/2008,960.75,979.0,934.75,976.5,3285137,3178242
ESZ08,11/17/2008,972.0,991.75,957.0,961.0,2807633,3124068
ESZ08,11/14/2008,1017.5,1028.0,970.25,971.5,3380763,3189714
ESZ08,11/13/2008,964.0,1023.75,926.75,1017.75,4458594,3132936
ESZ08,11/12/2008,1003.5,1021.0,958.5,963.5,3005718,3092054
ESZ08,11/11/2008,1029.5,1037.25,992.75,1003.0,2684203,3031125
ESZ08,11/10/2008,1051.0,1072.5,1015.5,1031.5,2133642,2977871
ESZ08,11/07/2008,1013.5,1047.5,1011.0,1046.25,2703538,2961860
ESZ08,11/06/2008,1067.5,1068.0,1007.0,1014.5,3516546,2983194
ESZ08,11/05/2008,1112.5,1118.5,1057.0,1068.0,2740245,2907890
ESZ08,11/04/2008,1079.5,1116.75,1074.0,1113.25,2330244,2889959
ESZ08,11/03/2008,1075.75,1089.75,1067.0,1079.5,1526918,2896766
ESZ08,10/31/2008,1069.75,1094.0,1050.0,1077.25,2760018,2927326
ESZ08,10/30/2008,1037.75,1078.5,1036.75,1071.5,2932752,2940487
ESZ08,10/29/2008,1048.75,1081.25,1024.25,1037.0,3241929,2950694
ESZ08,10/28/2008,946.5,1052.75,937.25,1048.75,3772789,3034561
ESZ08,10/27/2008,974.25,1004.0,935.0,944.75,2928467,3089792
ESZ08,10/24/2008,1024.5,1027.25,950.25,976.0,3317679,3077361
ESZ08,10/23/2008,1014.5,1033.25,966.0,1025.25,4065682,3041597
ESZ08,10/22/2008,1068.5,1079.25,982.5,1012.75,3294987,3041776
ESZ08,10/21/2008,1102.75,1102.75,1061.0,1069.25,2641317,3023803
ESZ08,10/20/2008,1047.5,1102.75,1035.5,1100.5,2438616,3025455
ESZ08,10/17/2008,1051.0,1097.75,1018.0,1043.5,3822772,2980661
ESZ08,10/16/2008,1013.5,1060.0,975.25,1051.0,5082816,3130108
ESZ08,10/15/2008,1114.0,1118.5,1007.25,1013.25,3840158,3204275
ESZ08,10/14/2008,1122.0,1177.0,1084.25,1112.25,4100451,3185319
ESZ08,10/13/2008,1019.5,1127.5,1019.25,1126.75,3362719,3136185
ESZ08,10/10/2008,1023.5,1053.0,947.0,1001.0,5906213,3286156
ESZ08,10/09/2008,1091.25,1120.0,1015.5,1022.5,4178884,3146292
ESZ08,10/08/2008,1114.0,1155.0,1073.0,1091.0,5319039,3082193
ESZ08,10/07/2008,1164.0,1188.0,1109.5,1115.75,4304997,2892076
ESZ08,10/06/2008,1213.75,1214.0,1119.0,1163.25,4484541,2771707
ESZ08,10/03/2008,1234.75,1271.0,1212.5,1218.25,3198201,2670153
ESZ08,10/02/2008,1278.25,1284.0,1225.25,1234.5,2758246,2574177
ESZ08,10/01/2008,1277.5,1283.0,1253.75,1278.5,2507955,2504827
ESZ08,09/30/2008,1228.25,1285.75,1222.0,1279.0,2936999,2562842
ESZ08,09/29/2008,1330.0,1331.25,1223.5,1228.75,3950446,2426904
ESZ08,09/26/2008,1322.25,1331.25,1294.75,1324.5,2237975,2282102
ESZ08,09/25/2008,1302.25,1334.75,1296.0,1323.5,2748750,2294675
ESZ08,09/24/2008,1298.0,1320.25,1290.25,1303.0,2404039,2258078
ESZ08,09/23/2008,1323.0,1332.75,1295.5,1297.0,3100379,2251047
ESZ08,09/22/2008,1354.0,1360.25,1315.25,1323.75,2760042,2274273
ESZ08,09/19/2008,1313.25,1401.25,1312.5,1356.0,4010576,2338739
ESZ08,09/18/2008,1277.0,1328.75,1246.25,1313.25,6013223,2380361
ESZ08,09/17/2008,1327.75,1339.5,1267.0,1273.0,5915946,3490505
ESZ08,09/16/2008,1305.5,1331.0,1273.0,1326.25,6078616,3205708
ESZ08,09/15/2008,1345.0,1349.25,1305.5,1306.0,5191302,3050804
ESZ08,09/12/2008,1362.0,1369.25,1344.5,1368.5,3648514,2809462
ESZ08,09/11/2008,1344.0,1364.0,1322.25,1362.0,4145205,2739328
ESZ08,09/10/2008,1338.5,1355.5,1331.5,1344.5,3267955,2573257
ESZ08,09/09/2008,1378.0,1386.25,1334.5,1337.75,3511803,2584490
ESZ08,09/08/2008,1368.5,1393.75,1358.5,1378.5,3333353,2533550
ESZ08,09/05/2008,1348.25,1356.75,1327.75,1352.5,3016691,2461589
ESZ08,09/04/2008,1387.0,1388.75,1346.5,1348.0,2879958,2461572
ESZ08,09/03/2008,1388.0,1392.5,1377.25,1386.75,2191428,2451668
ESZ08,09/02/2008,1392.5,1415.25,1383.5,1388.0,2307061,2459927
ESZ08,08/29/2008,1408.25,1409.25,1393.5,1394.25,1363496,2431595
ESZ08,08/28/2008,1392.75,1411.75,1387.5,1409.75,1529544,2457631
ESZ08,08/27/2008,1382.25,1396.5,1377.5,1393.5,1467894,2431112
ESZ08,08/26/2008,1379.25,1387.0,1374.0,1383.25,1494188,2445030
ESZ08,08/25/2008,1404.0,1404.0,1376.0,1377.75,1643724,2458453
ESZ08,08/22/2008,1387.0,1405.0,1382.75,1403.75,1386150,2444890
ESZ08,08/21/2008,1385.5,1392.75,1375.0,1387.0,1605250,2471572
ESZ08,08/20/2008,1378.75,1388.0,1372.25,1385.25,1776403,2450449
ESZ08,08/19/2008,1393.75,1394.0,1374.25,1379.75,1719522,2480227
ESZ08,08/18/2008,1410.5,1417.25,1385.75,1393.5,1704377,2436259
ESZ08,08/15/2008,1405.5,1413.75,1402.5,1411.5,1477150,2417382
ESZ08,08/14/2008,1397.0,1412.0,1387.25,1405.5,1887551,2452654
ESZ08,08/13/2008,1404.0,1405.75,1386.5,1396.25,2187873,2462142
ESZ08,08/12/2008,1414.25,1419.0,1397.25,1403.0,1747395,2464302
ESZ08,08/11/2008,1403.25,1425.25,1400.25,1417.0,2101714,2497873
ESZ08,08/08/2008,1380.0,1409.25,1373.5,1404.0,2181712,2548147
ESZ08,08/07/2008,1399.0,1400.25,1375.25,1379.5,1999790,2517197
ESZ08,08/06/2008,1394.5,1403.25,1387.5,1399.5,1734213,2485848
ESZ08,08/05/2008,1362.0,1396.0,1359.5,1394.5,2004869,2493001
ESZ08,08/04/2008,1370.5,1374.0,1358.0,1360.25,1523855,2500896
ESZ08,08/01/2008,1378.25,1385.25,1365.0,1372.0,1865967,2466548
ESZ08,07/31/2008,1393.5,1401.0,1376.75,1378.5,2334436,2488909
ESZ08,07/30/2008,1374.5,1396.5,1372.0,1396.5,2351700,2475353
ESZ08,07/29/2008,1345.5,1374.5,1344.0,1373.5,2098918,2488168
ESZ08,07/28/2008,1365.0,1371.25,1345.0,1346.75,1622137,2469176
ESZ08,07/25/2008,1364.75,1374.0,1361.5,1365.75,1616780,2401416
ESZ08,07/24/2008,1392.75,1396.5,1362.75,1365.5,1992799,2429047
ESZ08,07/23/2008,1387.25,1403.0,1386.0,1394.5,2131947,2400744
ESZ08,07/22/2008,1367.0,1389.75,1359.5,1386.25,2108089,2435374
ESZ08,07/21/2008,1372.25,1380.25,1367.25,1373.5,1537090,2429736
ESZ08,07/18/2008,1360.25,1374.5,1352.5,1372.25,1926102,2449494
ESZ08,07/17/2008,1352.75,1374.25,1349.0,1365.0,2897897,2530778
ESZ08,07/16/2008,1325.0,1357.75,1314.25,1352.5,2896617,2512078
ESZ08,07/15/2008,1339.0,1346.75,1312.0,1322.75,3670359,2551249
ESZ08,07/14/2008,1364.5,1371.25,1336.75,1339.75,2666736,2484352
ESZ08,07/11/2008,1368.0,1373.0,1337.5,1351.5,3254369,2455027
ESZ08,07/10/2008,1359.5,1370.25,1349.0,1366.25,3040155,2392694
ESZ08,07/09/2008,1386.0,1390.25,1356.75,1359.5,2407210,2350923
ESZ08,07/08/2008,1363.75,1387.25,1349.0,1385.5,2753156,2305736
ESZ08,07/07/2008,1371.0,1386.5,1352.0,1363.5,2582813,2295501
ESZ08,07/03/2008,1373.25,1388.25,1364.0,1376.75,1848651,2256649
ESZ08,07/02/2008,1398.5,1406.0,1373.25,1374.75,2434191,2181596
ESZ08,07/01/2008,1395.0,1398.25,1373.25,1398.25,3205711,2128233
ESZ08,06/30/2008,1392.75,1403.75,1388.0,1393.25,2170134,2063096
ESZ08,06/27/2008,1398.5,1403.5,1385.25,1392.0,2340463,2034347
ESZ08,06/26/2008,1431.0,1432.75,1395.5,1396.75,2651560,1999401
ESZ08,06/25/2008,1428.75,1450.25,1428.25,1435.25,2072798,1912010
ESZ08,06/24/2008,1430.25,1440.5,1418.5,1428.5,2122744,1945750
ESZ08,06/23/2008,1432.0,1439.75,1429.5,1431.25,1453910,1900083
ESZ08,06/20/2008,1445.0,1448.5,1428.0,1432.0,2323464,1878725
ESZ08,06/19/2008,1451.0,1461.75,1443.5,1454.5,2356396,1868410
ESZ08,06/18/2008,1458.5,1461.0,1448.75,1451.5,2732084,2812193
ESZ08,06/17/2008,1480.75,1481.75,1465.5,1466.25,2542668,2863046
ESZ08,06/16/2008,1469.0,1480.0,1468.5,1473.75,2260083,2619908
ESZ08,06/13/2008,1461.25,1475.75,1451.0,1473.25,2780594,2655239
ESZ08,06/12/2008,1465.0,1467.75,1447.0,1456.75,3090255,2681065
ESZ08,06/11/2008,1469.75,1473.5,1450.75,1451.0,2942579,2570800
ESZ08,06/10/2008,1466.75,1481.0,1465.25,1471.5,2361515,2459095
ESZ08,06/09/2008,1476.0,1484.0,1467.0,1478.5,2217468,2450450
ESZ08,06/06/2008,1507.25,1520.25,1472.0,1473.5,2844636,2464350
ESZ08,06/05/2008,1505.75,1519.5,1493.0,1519.5,2018540,2365904
ESZ08,06/04/2008,1500.0,1501.25,1486.75,1491.25,2110071,2361462
ESZ08,06/03/2008,1503.0,1506.0,1485.0,1492.25,2207987,2348971
ESZ08,06/02/2008,1491.25,1514.25,1491.25,1499.0,1736592,2290519
ESZ08,05/30/2008,1515.0,1518.0,1513.25,1514.75,1188784,2254910
ESZ08,05/29/2008,1512.0,1520.25,1512.0,1512.0,1735946,2295267
ESZ08,05/28/2008,1505.5,1505.5,1493.0,1505.5,1714136,2295098
ESZ08,05/27/2008,1486.0,1500.75,1486.0,1498.5,1582900,2290378
ESZ08,05/23/2008,1502.25,1504.25,1486.75,1486.75,1529219,2283559
ESZ08,05/22/2008,1506.75,1511.75,1505.5,1506.75,1735426,2258129
ESZ08,05/21/2008,1502.75,1534.75,1502.75,1506.0,2387075,2270953
ESZ08,05/20/2008,1541.5,1543.0,1524.5,1530.75,1879644,2225332
ESZ08,05/19/2008,1540.25,1553.5,1537.0,1543.5,1799879,2206872
ESZ08,05/16/2008,1539.5,1540.0,1533.75,1539.5,1794362,2176270
ESZ08,05/15/2008,1538.5,1538.5,1522.75,1538.5,1749145,2159629
ESZ08,05/14/2008,1522.0,1534.25,1516.75,1522.0,1750454,2130662
ESZ08,05/13/2008,1509.75,1521.25,1509.75,1518.75,1530794,2129314
ESZ08,05/12/2008,1518.0,1518.0,1501.25,1518.0,1573953,2122129
ESZ08,05/09/2008,1498.75,1504.75,1497.5,1502.0,1628514,2103063
ESZ08,05/08/2008,1511.5,1513.75,1505.0,1505.0,1706898,2084738
ESZ08,05/07/2008,1508.75,1533.75,1507.5,1508.75,1948192,2127574
ESZ08,05/06/2008,1534.5,1534.5,1513.0,1534.5,1893445,2117708
ESZ08,05/05/2008,1524.75,1527.25,1519.75,1522.0,1258088,2088459
ESZ08,05/02/2008,1529.5,1536.25,1522.0,1529.5,1925749,2089664
ESZ08,05/01/2008,1525.5,1525.5,1504.75,1525.5,1906910,2089310
ESZ08,04/30/2008,1499.5,1513.25,1499.5,1499.5,1919005,2090317
ESZ08,04/29/2008,1505.75,1511.5,1503.5,1505.75,1454112,2070628
